url,subdir1,subdir2,current_datetime,total_images1,total_images2,changed_images,percentage_change,category,interval
aniwatchtv.to,1 min 1\aniwatchtv.to\aniwatchtv.to_1_1_1,1 min 1\aniwatchtv.to\aniwatchtv.to_1_1_2,2024-04-29 02:33:54,7,7,0,0.0,Entertainment,1 minute
aniwatchtv.to,1 min 1\aniwatchtv.to\aniwatchtv.to_1_1_2,1 min 1\aniwatchtv.to\aniwatchtv.to_1_1_3,2024-04-29 02:36:31,7,7,0,0.0,Entertainment,1 minute
es.aliexpress.com,1 min 1\es.aliexpress.com\es.aliexpress.com_1_1_1,1 min 1\es.aliexpress.com\es.aliexpress.com_1_1_2,2024-04-29 03:32:21,152,88,0,0.0,Online Retail,1 minute
finance.yahoo.com,1 min 1\finance.yahoo.com\finance.yahoo.com_1_1_1,1 min 1\finance.yahoo.com\finance.yahoo.com_1_1_2,2024-04-29 03:22:32,71,29,18,25.352112676056336,Economy/Finance,1 minute
finance.yahoo.com,1 min 1\finance.yahoo.com\finance.yahoo.com_1_1_2,1 min 1\finance.yahoo.com\finance.yahoo.com_1_1_3,2024-04-29 03:24:47,29,79,18,62.06896551724138,Economy/Finance,1 minute
health.findanyanswer.net,1 min 1\health.findanyanswer.net\health.findanyanswer.net_1_1_1,1 min 1\health.findanyanswer.net\health.findanyanswer.net_1_1_2,2024-04-29 02:35:54,16,16,0,0.0,Health,1 minute
pubmed.ncbi.nlm.nih.gov,1 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_1_1_1,1 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_1_1_2,2024-04-29 02:53:56,1,1,0,0.0,Government,1 minute
pubmed.ncbi.nlm.nih.gov,1 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_1_1_2,1 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_1_1_3,2024-04-29 02:55:06,1,1,0,0.0,Government,1 minute
pubmed.ncbi.nlm.nih.gov,1 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_1_1_3,1 min 1\pubmed.ncbi.nlm.nih.gov\pubmed.ncbi.nlm.nih.gov_1_1_4,2024-04-29 02:55:58,1,1,0,0.0,Government,1 minute
stackoverflow.com,1 min 1\stackoverflow.com\stackoverflow.com_1_1_1,1 min 1\stackoverflow.com\stackoverflow.com_1_1_2,2024-04-29 02:25:30,29,29,0,0.0,Education,1 minute
stackoverflow.com,1 min 1\stackoverflow.com\stackoverflow.com_1_1_2,1 min 1\stackoverflow.com\stackoverflow.com_1_1_3,2024-04-27 18:19:37,29,12,0,0.0,Education,1 minute
weather.com,1 min 1\weather.com\weather.com_1_1_1,1 min 1\weather.com\weather.com_1_1_2,2024-04-29 02:36:38,1,0,0,0.0,Weather,1 minute
weathernews.jp,1 min 1\weathernews.jp\weathernews.jp_1_1_1,1 min 1\weathernews.jp\weathernews.jp_1_1_2,2024-04-29 02:53:19,53,46,0,0.0,Weather,1 minute
weathernews.jp,1 min 1\weathernews.jp\weathernews.jp_1_1_2,1 min 1\weathernews.jp\weathernews.jp_1_1_3,2024-04-29 02:55:05,46,46,0,0.0,Weather,1 minute
www.amazon.com.tr,1 min 1\www.amazon.com.tr\www.amazon.com.tr_1_1_1,1 min 1\www.amazon.com.tr\www.amazon.com.tr_1_1_2,2024-04-29 03:12:31,276,10,0,0.0,Online Retail,1 minute
