time,COUNT,url,num_Objects,isJS_Num_Same,isJS_Object_Same,Difference_Count,Different_Files,Difference
2024-03-31 17:28:19,1,https://aniwatchtv.to,9,NO,Yes,0,,No differences found.
2024-03-31 17:33:40,2,https://aniwatchtv.to,9,YES,NO,5," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 17:39:18,3,https://aniwatchtv.to,9,YES,NO,3," , js?id=UA-292525169-1&l=dataLayer&cx=c , js?id=G-TDZ1PKD2GH , 6534229",The difference is very large
2024-03-31 17:44:50,4,https://aniwatchtv.to,9,YES,NO,1," , 6534229",The difference is very large
2024-03-31 17:32:13,1,https://es.aliexpress.com,50,NO,Yes,0,,No differences found.
2024-03-31 17:39:42,2,https://es.aliexpress.com,54,NO,NO,4," , baxiaCommon.js , js?id=G-VED1YSGNC7&l=dataLayer&cx=c , gtm.js?id=GTM-5VJNN2G , gettime?callback=timestampcb",The difference is very large
2024-03-31 17:48:54,3,https://es.aliexpress.com,53,NO,NO,4," , baxiaCommon.js , js?id=G-VED1YSGNC7&l=dataLayer&cx=c , gtm.js?id=GTM-5VJNN2G , gettime?callback=timestampcb",The difference is very large
2024-03-31 17:04:42,1,https://finance.yahoo.com,41,NO,Yes,0,,No differences found.
2024-03-31 17:11:36,2,https://finance.yahoo.com,41,YES,NO,3," , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , gpt.js , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 17:17:38,3,https://finance.yahoo.com,41,YES,NO,3," , gpt.js , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 17:23:44,4,https://finance.yahoo.com,41,YES,NO,3," , gpt.js , bidexchange.js?cid=8YHB97349&version=12.1&dn=finance.yahoo.com&ysection=main&yregion=US&ylang=en-US&ysite=finance&ydevice=desktop , dfs?itype=YHB&type=1&cid=8YHB97349&dn=finance.yahoo.com&cc=PK&ugd=desktop&callback=window.advBidxc.pf_rtd&algo=exploitation",The difference is very large
2024-03-31 17:30:48,1,https://health.findanyanswer.net,14,NO,Yes,0,,No differences found.
2024-03-31 17:36:34,2,https://health.findanyanswer.net,14,YES,NO,2," , js?id=G-1K5EYX259P , js?id=G-1K5EYX259P",The difference is very large
2024-03-31 17:41:55,3,https://health.findanyanswer.net,14,YES,NO,4," , gh5rhfaaxf , js?id=G-1K5EYX259P , js?id=G-1K5EYX259P , js?id=G-1K5EYX259P",The difference is very large
2024-03-31 17:48:31,4,https://health.findanyanswer.net,14,YES,NO,4," , gh5rhfaaxf , js?id=G-1K5EYX259P , js?id=G-1K5EYX259P , js?id=G-1K5EYX259P",The difference is very large
2024-03-31 17:55:04,1,https://pubmed.ncbi.nlm.nih.gov,12,NO,Yes,0,,No differences found.
2024-03-31 18:00:44,2,https://pubmed.ncbi.nlm.nih.gov,14,NO,NO,7," , js?id=G-CSLL4ZEK4L&l=dataLayer&cx=c , js?id=G-CSLL4ZEK4L&l=dataLayer&cx=c , js?id=G-CSLL4ZEK4L&l=dataLayer&cx=c , js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , js?id=G-CSLL4ZEK4L , js?id=G-CSLL4ZEK4L",The difference is very large
2024-03-31 18:06:15,3,https://pubmed.ncbi.nlm.nih.gov,16,NO,NO,5," , js?id=G-CSLL4ZEK4L&l=dataLayer&cx=c , js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , js?id=G-CSLL4ZEK4L",The difference is very large
2024-03-31 18:11:45,4,https://pubmed.ncbi.nlm.nih.gov,16,YES,NO,9," , js?id=G-CSLL4ZEK4L&l=dataLayer&cx=c , js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c , js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c , js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer , js?id=G-CSLL4ZEK4L , js?id=G-CSLL4ZEK4L",The difference is very large
2024-03-31 17:07:15,1,https://stackoverflow.com,11,NO,Yes,0,,No differences found.
2024-03-31 17:12:41,2,https://stackoverflow.com,11,YES,NO,177," , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , js?id=G-WCZ03SZFCQ",The difference is very large
2024-03-31 17:18:11,3,https://stackoverflow.com,11,YES,NO,177," , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , js?id=G-WCZ03SZFCQ",The difference is very large
2024-03-31 17:23:49,4,https://stackoverflow.com,11,YES,NO,172," , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , client , js?id=G-WCZ03SZFCQ",The difference is very large
2024-03-31 17:30:45,1,https://weather.com,41,NO,Yes,0,,No differences found.
2024-03-31 17:37:54,2,https://weather.com,36,NO,NO,2," , gpt.js , 10738.js",The difference is very large
2024-03-31 17:45:09,3,https://weather.com,42,NO,NO,1," , gpt.js",The difference is very large
2024-03-31 17:53:32,1,https://weathernews.jp,27,NO,Yes,0,,No differences found.
2024-03-31 18:00:20,2,https://weathernews.jp,26,NO,NO,9," , js?id=G-CRWYBD4817&l=dataLayer&cx=c , js?id=G-744EN7FZFC&l=dataLayer&cx=c , js?id=G-744EN7FZFC&l=dataLayer&cx=c , gtm.js?id=GTM-NQD3CBD7 , gtm.js?id=GTM-NQD3CBD7 , gtm.js?id=GTM-NQD3CBD7 , gpt.js , js?id=UA-72962242-1 , js?id=UA-72962242-1",The difference is very large
2024-03-31 18:05:50,3,https://weathernews.jp,26,YES,NO,8," , js?id=G-CRWYBD4817&l=dataLayer&cx=c , js?id=G-744EN7FZFC&l=dataLayer&cx=c , js?id=G-744EN7FZFC&l=dataLayer&cx=c , gtm.js?id=GTM-NQD3CBD7 , gtm.js?id=GTM-NQD3CBD7 , gtm.js?id=GTM-NQD3CBD7 , gpt.js , js?id=UA-72962242-1",The difference is very large
2024-03-31 18:11:36,4,https://weathernews.jp,26,YES,NO,6," , js?id=G-CRWYBD4817&l=dataLayer&cx=c , js?id=G-CRWYBD4817&l=dataLayer&cx=c , js?id=G-744EN7FZFC&l=dataLayer&cx=c , gtm.js?id=GTM-NQD3CBD7 , gpt.js , js?id=UA-72962242-1",The difference is very large
2024-03-31 17:06:06,1,https://www.amazon.com.tr,11,NO,Yes,0,,No differences found.
